id,created_at,text
1241017114883997696,Fri Mar 20 15:01:51 +0000 2020,"Die große Mehrheit der Deutschen marschiert der Fahne nach, egal ob diese braun, rot oder grün ist und egal wohin sie das führt. #Deutschland #MerkelRede #CoronaKrise #Coronavirus #Staatsversagen https://t.co/2EDGCNzA7L via @tichyseinblick"
1241017150350950401,Fri Mar 20 15:02:00 +0000 2020,"Ein #Zirkus -Paar: ""Wir waren ja immer am Kämpfen. Erst nach der Wende, als das ganze System Zirkus mit Problemen zu kämpfen hatte, dann erneut vor drei, vier Jahren, als für die gestandenen Dompteure bisherige Engagements wegbrachen"". #Coronakrise #Corona
https://t.co/2g1B2KtFGo"
1241017155581358082,Fri Mar 20 15:02:01 +0000 2020,"#Coronakrise - Neben satten Subventionen für Großkonzerne plant die Bundesregierung offenbar auch, Milliardensummen zur Unterstützung für Soloselbständige und Kleinstunternehmen bereitzustellen. https://t.co/MpRWc3AmhC"
1241017168403234816,Fri Mar 20 15:02:04 +0000 2020,"Auch wenn es gerade schwierig ist, bitte kaufen sie nur einen Volleyball! Hamstern Sie keine Volleybälle in dieser Notlage! 
Seid fair zu einander! #Coronakrise #AusgangsSperreJetzt #Ausgangsperre #COVID19de #BleibtZuhause #wirbleibenzuhause https://t.co/Rr96KNVi6v"
1241017173734195200,Fri Mar 20 15:02:05 +0000 2020,"das ist erst der Anfang
#enteignetsiealle"
1241017184807256064,Fri Mar 20 15:02:08 +0000 2020,"Italienisches KH-Personal: Retten am Rande der Erschöpfung Leben und müssen entscheiden wen sie sterben lassen. 

Deutsches KH-Personal:"
1241017193216856065,Fri Mar 20 15:02:10 +0000 2020,"Liebe @TAOnline, findet ihr es wirklich in Ordnung derart wichtige Artikel zur #Coronakrise hinter einer Paywall zu verstecken? Die Leute brauchen jetzt alle Infos, um verantwortungsvoll handeln zu können! https://t.co/LeyTTHZr2Z"
1241017201399943174,Fri Mar 20 15:02:12 +0000 2020,"Wirtschaftspaket BR: Gut, dass die Banken eine zentrale Rolle einnehemen - und nicht irgendwelche ""Swissfonds"". Doch das Paket scheint ebenso politökonomisch wie ökonomisch begründet. Manche Branchen sind  gleicher als andere #MedienkonferenzBundesrat #coronakrise"
1241017219980673025,Fri Mar 20 15:02:16 +0000 2020,"Das #Coronavirus verändert auch die #Pflege zuhause: Was können pflegende Angehörige tun? ""PfiFf - Pflege in Familien fördern"" veröffentlicht ab sofort Tipps für den Alltag: https://t.co/bSWkv06Qnk
 
#Kontaktepflegen
#Coronavirusdeutschland
#CoronaVirusDE
#Coronakrise https://t.co/B3gNBlySwK"
1241017230172839945,Fri Mar 20 15:02:19 +0000 2020,"Quarantäne Tag 5 - nehmt es mit Humor und lasst #hamsterkaeufe sein. 

https://t.co/i89CgZ7ILY

#AusgangsSperreJetzt #Covid_19 #Ausgangssperre #wirbleibenzuhause #Coronakrise #CoronaVirusDE"
